feature,gain,gain_norm
pm25_lag1,242976.31770833334,0.24428360286494968
pm25_roll_mean_3,200309.72005208334,0.19752408698797938
pm25_lag2,158785.99088541666,0.15559555978081568
pm25_diff_2,52852.9814453125,0.05138182062940231
pm25_diff_1,54565.532877604164,0.04892915180560451
wind_speed_diff_2,22808.997192382812,0.019024351573134392
hour_cos,16102.064290364584,0.01348413985861821
is_daytime,15381.357055664062,0.0117442600304285
pm25_roll_mean_6,13072.616475423178,0.010463398595635755
pm25_diff_3,11265.841145833334,0.010224446206475111
precipitation,11436.694620768229,0.010005895470398278
hour_sin,11234.275268554688,0.009421222992724384
month_cos,11496.71337890625,0.009283151381438011
pres_diff_2,11324.695251464844,0.009188119952152853
temp,11155.34706624349,0.008946629709410275
wind_speed_diff_1,10943.199727376303,0.008907714674561452
pm25_roll_std_6,10059.16562906901,0.008630315931778279
temp_diff_1,10473.46528116862,0.008415446609800365
pres,10403.866841634115,0.008405414439211395
wind_speed,9690.40077718099,0.008153284905919938
pm25_roll_mean_24,9458.991068522135,0.007819254481622346
temp_diff_2,9252.115356445312,0.007608363582226767
is_weekend,9923.742492675781,0.007466690692736491
dewp_temp_gap,8683.789672851562,0.007312196310569681
pm25_roll_mean_12,8948.442443847656,0.007287132900929585
month_sin,9075.274251302084,0.007184060736794138
pres_diff_1,8369.157206217447,0.0068131133374875015
dewp,8305.202138264975,0.006702254986038975
temp_x_humidity,8134.915873209636,0.006668125905565069
pm25_diff_6,7797.045389811198,0.006606499937639141
pm25_lag12,8012.0523681640625,0.006500590431868837
humidity,7469.108500162761,0.006389551234945975
is_rush_hour,6812.706929524739,0.006092417286745252
pm25_roll_std_24,7541.662811279297,0.0060430354006536825
precipitation_flag,6729.855936686198,0.005857682393571773
weekday,7078.644063313802,0.005809483080044184
wind_speed_x_pm25_lag1,6983.406270345052,0.005739971309677905
pm25_lag3,6575.413594563802,0.005642885574186214
pm25_lag6,6022.5777587890625,0.005162221099737372
pm25_lag24,6274.009053548177,0.00512660792183599
pm25_lag4,6011.441141764323,0.004998466830015933
pm25_lag8,5880.059885660808,0.004906290168059741
pm25_roll_std_12,5632.263102213542,0.004610304497677293
pm25_roll_std_3,4385.543385823567,0.0036407854989313824
is_holiday,0.0,0.0
wind_dir_cos,0.0,0.0
wind_dir_sin,0.0,0.0
wind_speed_x_wind_dir_sin,0.0,0.0
